ASV ID,Geneus,Species,Fold_change,P.value,Rank
5149bdbf03de13bb38557d48d5141b87,Lachnoclostridium ,[Clostridium] scindens,0.490241156,0.0000478,4
d49783e7800974b5f2bcce554e26072e,Blautia (ASVd4),Blautia sp.,0.366599066,0.025182477,6
8538d07b8c1e8676f9b9c8c242aab14a,[Eubacterium] coprostanoligenes group,[Eubacterium] coprostanoligenes group sp.,0.331033411,0.000202618,7
e93b313352019b8113e7fc66bf757917,Parvimonas,Parvimonas micra,0.284140706,1.58E-08,2
8646bffa210e3f061cc57f1b1cf2f751,Hungatella,Hungatella hathewayi WAL-18680,0.162558545,0.00556733,15
16530e5b50b780018210dac05a471715,Ruminococcaceae UCG-002,Ruminococcaceae UCG-002 sp.,0.161797244,0.041126477,9
31f567f59096ed2d57feecc6c3621a58,Porphyromonas,Porphyromonas sp. 2007b,0.148941982,0.00000011,12
ab149525cad479f6599c7923acc49691,Lachnospiraceae UCG-010,Lachnospiraceae UCG-010 sp.,0.134559068,0.001704436,18
7ee3e4343242684ba3ce459672348ff7,Bacteroides (ASV7e),Bacteroides nordii,0.122480644,0.02618955,17
9fec7bdd6bd88e710bd69b15692e54a0,Streptococcus,Streptococcus infantarius,0.114313349,0.015533264,20
19da890972569b6859c360e9b4c8751e,Porphyromonas,Porphyromonas sp. HMSC077F02,0.09953278,5.82E-10,11
d1a75593a480570277f05ec729b865de,[Ruminococcus] gnavus group,[Ruminococcus] gnavus group sp.,0.09072772,0.013049094,23
ee5b57a629da222ad236b5d4bc329d71,Merdibacter,Merdibacter massiliensis,-0.029216432,0.019749941,22
4924bfca291797ea1fca3e384f4143f9,Roseburia (ASV49),Roseburia hominis A2-183,-0.090914981,0.014511073,24
96040114b5274bdb987f28c63b6b6b87,Roseburia (ASV96),Roseburia intestinalis,-0.177167261,0.002398276,21
fd496fd32dc8c08ade2e8b6c9d8ee13d,Streptococcus ,Streptococcus thermophilus TH1435,-0.240244906,0.002455661,1
aff3962bbd7607a2971161d9840ca409,Ruminiclostridium 5,Ruminiclostridium bromii,-0.241243529,0.000508604,10
91587a85e342f8dba27f54e15ac0ea77,Tyzzerella 3,Tyzzerella 3 sp.,-0.263695669,0.000337072,14
a55a010c9525ce2943a553dca1421b1c,[Eubacterium] ventriosum group,[Eubacterium] ventriosum group sp.,-0.285088601,0.001346214,19
2de0f958e30d26f04cba8d2a920bbe46,Blautia (ASV2d),Blautia faecis,-0.316121096,0.006230941,16
6ec1023583647a401269990c4e8ad716,Lachnospira,Lachnospira pectinoschiza,-0.33013472,0.004511384,8
e9f900358bb9297e10b9fbb1321b1e6e,Erysipelatoclostridium,Erysipelatoclostridium ramosum,-0.335761763,0.001893253,5
f50508546ae13143015f8c4cb976d0e4,[Eubacterium] ruminantium group,[Eubacterium] ruminantium,-0.357232393,0.006083894,13
fd44d4cb468fd7dc9b3227867714ed87,Bacteroides (ASVfd),Bacteroides dorei,-0.361521149,0.000778626,3