hldE,,rfaD,,GmhA,,GmhB,,menH,,menF,,menC,
control,adenoma,control,adenoma,control,adenoma,control,adenoma,adenoma,cancer,adenoma,cancer,adenoma,cancer
1.230572596,2.528911929,4.580674464,4.604768685,0.439807306,11.787176,0.380101694,10.5785977,7.254871011,151.6013022,2.696669582,68.71614153,8.928504552,179.688391
0.703352333,0.367140835,1.83613898,0.681604769,0.147962891,2.16195131,0.163573918,2.94415906,1.368364653,0.148314526,0.76713018,0.346846056,1.711688365,0.217952654
3.022010329,1.139047808,130.7862237,0.107371128,20.30414962,3.762225257,16.32538608,2.518003927,0.118636069,0.013779213,0.422284018,0.054272207,1.657496393,0.005379393
0.925755427,2.0969193,3.100952912,0.036013431,0.081770521,0.410270958,0.205583086,0.194306377,0.192333019,67.90330686,0.393619279,30.367472,0.165131672,53.4640097
0.323265986,0.295045362,10.73256401,0.029565065,1.39997757,1.017124883,1.097604156,0.767192644,0.057080257,0.015707047,1.332703802,0.400236595,0.457654892,0.007111031
1.670552907,0.79716374,63.7481514,0.119692346,9.653354456,0.696866998,7.698380713,0.265953869,0.360019003,25.35303509,0.391891337,9.263768147,0.297456196,11.91812743
1.931504775,6.73527485,4.370341324,123.059432,0.045132619,12.52088893,0.162776762,9.807990057,7.127228167,0.148472737,2.255207969,0.326699293,10.05114519,0.222414826
0.608291656,1.304360314,0.026699639,26.68806283,0.533260009,1.918325921,0.576935141,2.586212043,1.914368668,9.466436879,0.951947979,2.092220496,2.561275817,6.686536462
0.17544758,3.411086778,0.006373153,29.71849491,0.112817802,3.480854028,0.128140488,2.311956724,0.371135273,1.284910459,0.785822466,1.882903154,3.318163228,1.33195726
1.971029835,4.522414799,0.980050227,2.54612161,24.2266285,0.290466783,23.29311119,0.169291036,0.29904745,0.738971252,0.285000676,0.598629234,0.263825048,0.82071882
0.331164994,1.062972262,0.019387906,8.58848683,0.081200281,0.876008107,0.265085084,0.656184641,0.141074899,19.45023657,0.976612484,8.905368864,0.644285381,25.11865667
0.094553665,1.737538939,0.034345567,4.457341174,0.953656682,0.52580364,0.813594166,0.367180088,0.319305561,26.07378044,0.48690112,9.749087578,0.387045968,31.57076642
0.524833952,,0.214593277,,6.121932899,,5.499674438,,,0.155732609,,0.51648887,,0.030090144
0.877234095,,0.010069955,,0.07042041,,0.22936135,,,0.068618721,,0.079437076,,0.087063636
,,,,,,,,,0.808816752,,0.351044626,,0.977957789
,,,,,,,,,14.50825767,,5.094999885,,12.31607477
,,,,,,,,,5.899807933,,2.347082704,,8.364391691
,,,,,,,,,4.438985325,,1.528978093,,0.037617862
,,,,,,,,,3.40575356,,1.860205626,,4.495219461
,,,,,,,,,0.31294421,,0.049307361,,0.139219084
,,,,,,,,,0.320643279,,0.553930715,,2.315065294
,,,,,,,,,0.193365067,,0.253174121,,0.335760924
,,,,,,,,,0.06060571,,0.473557361,,0.21916938
,,,,,,,,,19.12641847,,6.546145612,,2.486584311
,,,,,,,,,4.533858522,,1.976411109,,7.250731817
,,,,,,,,,0.151486898,,0.055325796,,0.086469753
,,,,,,,,,2.036679744,,0.827704293,,2.511069313
,,,,,,,,,1.731056752,,1.162215438,,2.31261876
,,,,,,,,,0.117338686,,0.84748149,,0.039029573
,,,,,,,,,7.770835878,,2.670687108,,0.67883872